frequency	angle1	angle2	angle3
4.476797e+00	3.610812e-03	7.345563e-04	7.820825e-04
4.494995e+00	3.997161e-03	3.572074e-04	7.009395e-04
4.513194e+00	3.652302e-03	5.575845e-04	9.741777e-04
4.531392e+00	3.557072e-03	1.360943e-04	5.730457e-04
4.549591e+00	3.327391e-03	2.922083e-05	4.104309e-04
4.567789e+00	2.498967e-03	2.157028e-04	2.627195e-04
4.585987e+00	3.978713e-03	3.966782e-04	1.187124e-04
4.604186e+00	3.731600e-03	4.573977e-04	1.482688e-04
4.622384e+00	4.353425e-03	6.176731e-04	1.237224e-03
4.640582e+00	4.443318e-03	1.043378e-03	6.675742e-04
4.658781e+00	2.099639e-03	7.220169e-04	9.805464e-04
4.676979e+00	3.507695e-03	7.295952e-04	4.523761e-04
4.695177e+00	4.112122e-03	8.864940e-04	5.495742e-04
4.713376e+00	4.245257e-03	9.855995e-04	8.918534e-04
4.731574e+00	4.891135e-03	9.514819e-04	4.772320e-04
4.749773e+00	4.914043e-03	4.840446e-04	4.206913e-04
4.767971e+00	4.127155e-03	5.944288e-04	3.998391e-04
4.786169e+00	3.086718e-03	2.728110e-04	1.327279e-03
4.804368e+00	4.800223e-03	1.089717e-03	1.563723e-03
4.822566e+00	3.281139e-03	4.199939e-04	2.375976e-04
4.840764e+00	4.706221e-03	8.993886e-04	1.341954e-03
4.858963e+00	3.545342e-03	5.760573e-04	5.279485e-04
4.877161e+00	2.684138e-03	4.074338e-04	1.158657e-03
4.895359e+00	3.731184e-03	9.653292e-04	3.294168e-04
4.913558e+00	3.968150e-03	1.174524e-04	2.538021e-04
4.931756e+00	3.409392e-03	5.361314e-04	1.091213e-03
4.949955e+00	3.111431e-03	3.370081e-04	5.882280e-04
4.968153e+00	4.840975e-03	3.399034e-04	9.499019e-04
4.986351e+00	3.425156e-03	4.700887e-04	1.499485e-03
5.004550e+00	3.186551e-03	6.491874e-04	1.991694e-04
5.022748e+00	1.718389e-03	7.860353e-04	8.689147e-04
5.040946e+00	2.926418e-03	8.256572e-05	8.069884e-04
5.059145e+00	4.044319e-03	1.380191e-03	5.787083e-04
5.077343e+00	3.140632e-03	7.166633e-04	1.222475e-03
5.095541e+00	3.469456e-03	6.211099e-04	2.899877e-04
5.113740e+00	2.048383e-03	4.873201e-04	9.892158e-04
5.131938e+00	3.032663e-03	7.071541e-04	5.975896e-04
5.150136e+00	3.797854e-03	8.665413e-04	5.106235e-04
5.168335e+00	3.778348e-03	7.826062e-04	1.201140e-03
5.186533e+00	2.786588e-03	4.493113e-04	1.754382e-04
5.204732e+00	2.885660e-03	7.360197e-04	1.305491e-03
5.222930e+00	3.848406e-03	8.126081e-04	9.063434e-05
5.241128e+00	4.093366e-03	1.156243e-03	6.423289e-04
5.259327e+00	2.570175e-03	1.435708e-04	9.128418e-04
5.277525e+00	3.746941e-03	1.315547e-04	9.558912e-04
5.295723e+00	2.741734e-03	6.747747e-04	5.036448e-04
5.313922e+00	3.514817e-03	9.759786e-04	4.773814e-04
5.332120e+00	3.132935e-03	2.877228e-05	6.994071e-04
5.350318e+00	2.970455e-03	1.219709e-03	4.142844e-04
5.368517e+00	2.995225e-03	3.119448e-04	3.800883e-04
5.386715e+00	2.730534e-03	3.843344e-04	2.985535e-04
5.404914e+00	3.340564e-03	5.214744e-04	7.147995e-04
5.423112e+00	1.551006e-03	2.043515e-04	7.258814e-04
5.441310e+00	2.341167e-03	1.031011e-03	2.571491e-04
5.459509e+00	2.636616e-03	3.424533e-04	7.245997e-04
5.477707e+00	3.675381e-03	6.559700e-04	5.043922e-04
5.495905e+00	3.207361e-03	2.114697e-04	9.654982e-05
5.514104e+00	3.243728e-03	8.312054e-04	4.302822e-04
5.532302e+00	2.567557e-03	4.223698e-04	3.010853e-04
5.550500e+00	3.472609e-03	3.180575e-04	8.101542e-04
5.568699e+00	3.073157e-03	6.555151e-04	1.086601e-03
5.586897e+00	2.777282e-03	5.603247e-04	7.005525e-04
5.605096e+00	4.034067e-03	1.187623e-03	8.154125e-04
5.623294e+00	1.953016e-03	8.661567e-04	3.958376e-04
5.641492e+00	1.880674e-03	3.005154e-04	1.269201e-03
5.659691e+00	3.172594e-03	7.519590e-04	2.981600e-04
5.677889e+00	3.852128e-03	9.110980e-04	7.550910e-04
5.696087e+00	2.866893e-03	7.151253e-04	4.357403e-04
5.714286e+00	3.458662e-03	2.325697e-04	7.752687e-04
5.732484e+00	2.083053e-03	3.492346e-04	7.093714e-04
5.750682e+00	2.633257e-03	1.151130e-03	6.556498e-04
5.768881e+00	1.955269e-03	1.028839e-03	9.408504e-04
5.787079e+00	2.745650e-03	1.007875e-03	9.457266e-04
5.805278e+00	2.133552e-03	9.730785e-04	7.870162e-04
5.823476e+00	5.866060e-03	7.031182e-04	3.452960e-04
5.841674e+00	3.938829e-03	3.741959e-04	2.243334e-04
5.859873e+00	1.814461e-03	1.386244e-04	2.470986e-04
5.878071e+00	3.994848e-03	1.990667e-04	1.666919e-04
5.896269e+00	2.930499e-03	3.968441e-04	1.178547e-03
5.914468e+00	4.323104e-03	2.194752e-04	5.615446e-04
5.932666e+00	2.546511e-03	1.443991e-03	1.614449e-03
5.950864e+00	2.192600e-03	6.882995e-04	6.767447e-04
5.969063e+00	1.909003e-03	9.588441e-04	4.862778e-04
5.987261e+00	2.933054e-03	5.496765e-04	3.234075e-04
6.005460e+00	2.037715e-03	9.024159e-04	1.755272e-04
6.023658e+00	2.225866e-03	7.094042e-04	5.879234e-04
6.041856e+00	3.593005e-03	4.818772e-04	5.740189e-04
6.060055e+00	2.670993e-03	1.245556e-04	1.135370e-03
6.078253e+00	2.815010e-03	3.395794e-04	5.838305e-04
6.096451e+00	2.535614e-03	1.339661e-04	7.579992e-04
6.114650e+00	3.364588e-03	2.037859e-04	1.871879e-04
6.132848e+00	3.125403e-03	7.528834e-04	1.071796e-03
6.151046e+00	3.235681e-03	4.255854e-04	5.715024e-04
6.169245e+00	1.994761e-03	1.626811e-04	8.920533e-04
6.187443e+00	2.353840e-03	7.901764e-04	1.846823e-04
6.205641e+00	3.475543e-03	1.891206e-04	5.631598e-04
6.223840e+00	3.144993e-03	5.249892e-04	4.681268e-04
6.242038e+00	2.805310e-03	6.412380e-04	4.074405e-04
6.260237e+00	2.231037e-03	1.452035e-04	6.339648e-04
6.278435e+00	2.328920e-03	5.743752e-04	3.451709e-04
6.296633e+00	2.652093e-03	7.739615e-04	1.351721e-04
6.314832e+00	3.575335e-03	5.495917e-04	3.970317e-04
6.333030e+00	3.114426e-03	1.037163e-03	4.759743e-04
6.351228e+00	3.522234e-03	7.260908e-04	6.101943e-04
6.369427e+00	2.967988e-03	2.606430e-04	6.640900e-04
6.387625e+00	3.321825e-03	3.432120e-04	9.537415e-04
6.405823e+00	2.099853e-03	7.895092e-04	8.479832e-04
6.424022e+00	1.419433e-03	2.879574e-04	1.023952e-03
6.442220e+00	2.696186e-03	1.118032e-03	9.495839e-04
6.460419e+00	1.963803e-03	9.267107e-04	1.079764e-03
6.478617e+00	3.565308e-03	1.055428e-03	3.182472e-04
6.496815e+00	3.174786e-03	7.368069e-04	4.792440e-04
6.515014e+00	3.020758e-03	3.648253e-04	9.893910e-04
6.533212e+00	2.094638e-03	6.366699e-04	2.448591e-04
6.551410e+00	2.972302e-03	5.407117e-04	6.201740e-04
6.569609e+00	1.761786e-03	6.476101e-04	3.326657e-04
6.587807e+00	2.424019e-03	2.271117e-04	4.091925e-04
6.606005e+00	3.860155e-03	2.407959e-04	1.186970e-03
6.624204e+00	2.704247e-03	5.169720e-04	5.737327e-04
6.642402e+00	3.630671e-03	3.186078e-04	6.069711e-04
6.660601e+00	2.838528e-03	1.739310e-04	5.517934e-04
6.678799e+00	2.908394e-03	4.974247e-04	6.071095e-04
6.696997e+00	3.400071e-03	1.029708e-04	8.933356e-04
6.715196e+00	2.216137e-03	1.213133e-03	6.558323e-04
6.733394e+00	2.082599e-03	9.337447e-04	5.256699e-04
6.751592e+00	3.153815e-03	1.465046e-03	1.045363e-03
6.769791e+00	2.467821e-03	7.881775e-04	9.241285e-04
6.787989e+00	1.448227e-03	5.289149e-04	3.474748e-04
6.806187e+00	1.248806e-03	7.916835e-04	4.950600e-04
6.824386e+00	3.754636e-03	4.261840e-04	9.174858e-04
6.842584e+00	2.208720e-03	5.938187e-04	1.074308e-03
6.860783e+00	2.645468e-03	3.412513e-04	6.073872e-04
6.878981e+00	3.460722e-03	3.683038e-04	1.558032e-03
6.897179e+00	3.196903e-03	9.445036e-04	4.798431e-04
6.915378e+00	3.011257e-03	9.010874e-04	5.218068e-04
6.933576e+00	2.767508e-03	7.343437e-04	1.028070e-03
6.951774e+00	2.837020e-03	7.271953e-04	4.122245e-04
6.969973e+00	2.090347e-03	2.214405e-04	5.028957e-04
6.988171e+00	2.111650e-03	1.935080e-04	3.614834e-04
7.006369e+00	2.581647e-03	3.735102e-04	7.426712e-04
7.024568e+00	2.726289e-03	7.129339e-04	6.429438e-04
7.042766e+00	2.624787e-03	5.634885e-04	1.589276e-04
7.060965e+00	2.399019e-03	4.677288e-04	1.504758e-04
7.079163e+00	2.221479e-03	6.053303e-04	3.774702e-04
7.097361e+00	1.544340e-03	9.699759e-04	3.721111e-04
7.115560e+00	1.230645e-03	5.133221e-04	3.666378e-04
7.133758e+00	1.671618e-03	1.991340e-04	8.200848e-04
7.151956e+00	3.080995e-03	2.011373e-04	1.495815e-03
7.170155e+00	2.010372e-03	3.380874e-04	5.337121e-04
7.188353e+00	2.255601e-03	7.876677e-04	6.532788e-05
7.206551e+00	2.712311e-03	5.501534e-04	5.034197e-05
7.224750e+00	2.877268e-03	4.377383e-04	3.944138e-04
7.242948e+00	2.957662e-03	8.720223e-04	4.995353e-04
7.261146e+00	3.473458e-03	7.050667e-04	9.182507e-04
7.279345e+00	2.180219e-03	2.443490e-04	5.466025e-04
7.297543e+00	2.267477e-03	4.030648e-04	4.625116e-04
7.315742e+00	2.388817e-03	8.637162e-04	4.253968e-04
7.333940e+00	2.369454e-03	3.881433e-04	7.026716e-04
7.352138e+00	2.437865e-03	3.551220e-04	6.804665e-04
7.370337e+00	1.520108e-03	3.143179e-04	9.950532e-05
7.388535e+00	2.726177e-03	6.954487e-04	3.856866e-04
7.406733e+00	3.270635e-03	4.521288e-04	7.480718e-04
7.424932e+00	2.140384e-03	7.628439e-04	1.336584e-03
7.443130e+00	3.109552e-03	1.468877e-04	3.276618e-04
7.461328e+00	2.245930e-03	3.602733e-04	8.821299e-04
7.479527e+00	2.698724e-03	3.201225e-04	1.019728e-03
7.497725e+00	2.043490e-03	4.579574e-04	2.568728e-04
7.515924e+00	2.505223e-03	3.198101e-04	6.957852e-04
7.534122e+00	9.015425e-04	2.035656e-04	4.905213e-04
7.552320e+00	2.440244e-03	9.003588e-04	8.569973e-04
7.570519e+00	2.122933e-03	4.317958e-04	4.603316e-04
7.588717e+00	2.243493e-03	5.874957e-04	2.845666e-04
7.606915e+00	2.123873e-03	3.387437e-04	3.774488e-04
7.625114e+00	2.609724e-03	5.923545e-04	7.961967e-04
7.643312e+00	2.709475e-03	3.164222e-04	5.838204e-04
7.661510e+00	3.165717e-03	5.278646e-04	1.016730e-03
7.679709e+00	2.577567e-03	3.297230e-04	3.667646e-04
7.697907e+00	1.968033e-03	3.532214e-04	5.132637e-04
7.716106e+00	1.807744e-03	9.130677e-04	5.204502e-04
7.734304e+00	2.550197e-03	2.211061e-04	5.291573e-04
7.752502e+00	3.117198e-03	7.869377e-04	4.973075e-04
7.770701e+00	2.616277e-03	7.775563e-04	7.370659e-04
7.788899e+00	2.051534e-03	4.393110e-04	1.207927e-03
7.807097e+00	2.173042e-03	4.190020e-04	8.743560e-04
7.825296e+00	1.629248e-03	2.012836e-04	6.633123e-04
7.843494e+00	3.730054e-03	4.345139e-04	6.697824e-04
7.861692e+00	2.287909e-03	1.787493e-04	4.034703e-04
7.879891e+00	1.387219e-03	6.086900e-04	4.735364e-04
7.898089e+00	2.367568e-03	8.296317e-04	5.229110e-04
7.916288e+00	2.675732e-03	2.792588e-04	4.615817e-04
